课程名称,课程类别,讲师,课程级别,学习人数,评分,价格,用时,课程链接
基于Python玩转人工智能框架 TensorFlow应用实践,后端开发,Oscar老师,中级,1972,92%,"
								￥299.00
							",15小时,https://coding.imooc.com//class/176.html
Spring Boot仿抖音短视频小程序开发 全栈式实战项目,后端开发,风间影月,中级,1342,100%,"
								￥348.00
							",17小时,https://coding.imooc.com//class/217.html
IT段子手详解MyBatis遇到Spring 秒学Java SSM开发大众点评,后端开发,源生活,中级,971,90%,"
								￥248.00
							",12小时,https://coding.imooc.com//class/105.html
Python移动自动化测试面试,后端开发,IAMTESTER,中级,538,98%,"
								￥299.00
							",14小时,https://coding.imooc.com//class/182.html
剑指Java面试-Offer直通车,后端开发,xiangzepro,中级,3243,99%,"
								￥299.00
							",16小时16分钟,https://coding.imooc.com//class/303.html
Spring Security技术栈开发企业级认证与授权,后端开发,JoJozhai,高级,1867,98%,"
								￥366.00
							",19小时,https://coding.imooc.com//class/134.html
Go实战仿百度云盘  实现企业级分布式云存储系统,后端开发,xiaomo,中级,267,98%,"
								￥348.00
							",13小时30分钟,https://coding.imooc.com//class/323.html
从天气项目入门Spring Cloud微服务治理,后端开发,老卫,中级,369,97%,"
								￥299.00
							",12小时,https://coding.imooc.com//class/177.html
全方位深度剖析PHP7底层源码,后端开发,陈雷,高级,328,98%,"
								￥348.00
							",13小时30分钟,https://coding.imooc.com//class/312.html
Java开发企业级权限管理系统,后端开发,Jimin,中级,1495,97%,"
								￥388.00
							",19小时,https://coding.imooc.com//class/149.html
Go语言实战流媒体视频网站,后端开发,艾文西,中级,551,97%,"
								￥266.00
							",10小时30分钟,https://coding.imooc.com//class/227.html
Tornado从入门到进阶 打造支持高并发的技术论坛,后端开发,bobby,中级,263,96%,"
								￥388.00
							",18小时,https://coding.imooc.com//class/290.html
Python Flask构建微信小程序订餐系统,后端开发,编程浪子,中级,575,90%,"
								￥348.00
							",17小时,https://coding.imooc.com//class/265.html
Java秒杀系统方案优化 高性能高并发实战,后端开发,若鱼1919,中级,1371,97%,"
								￥288.00
							",14小时30分钟,https://coding.imooc.com//class/168.html
HBase+Spring Boot实战分布式文件存储,后端开发,叁金,中级,311,100%,"
								￥288.00
							",12小时,https://coding.imooc.com//class/205.html
Python3入门机器学习 经典算法与应用,后端开发,liuyubobobo,中级,2593,100%,"
								￥499.00
							",25小时,https://coding.imooc.com//class/169.html
微信小程序商城构建全栈应用,后端开发,7七月,中级,3436,99%,"
								￥388.00
							",43小时35分钟,https://coding.imooc.com//class/97.html
Java分布式优惠券系统后台 手把手实战开发,后端开发,张勤一,中级,419,95%,"
								￥299.00
							",12小时30分钟,https://coding.imooc.com//class/254.html
Python高级编程和异步IO并发编程,后端开发,bobby,高级,795,95%,"
								￥399.00
							",18小时,https://coding.imooc.com//class/200.html
PHP开发高可用高安全App后端,后端开发,singwa,中级,925,96%,"
								￥266.00
							",16小时30分钟,https://coding.imooc.com//class/135.html
面面俱到的Java接口自动化测试实战,后端开发,大周16,中级,839,98%,"
								￥266.00
							",13小时30分钟,https://coding.imooc.com//class/204.html
Netty/Spring Boot仿微信聊天全栈实战 从0开发到上线部署,后端开发,风间影月,中级,661,99%,"
								￥348.00
							",16小时10分钟,https://coding.imooc.com//class/261.html
Spring Boot开发理财产品系统,后端开发,skyding,高级,280,91%,"
								￥299.00
							",12小时40分钟,https://coding.imooc.com//class/211.html
